UP100056237,Unknown
UP100055640,Unknown
UP100056342,Unknown
UP100055642,Unknown
UP100056443,Unknown
UP100055748,Unknown
UP100055829,Unknown
UP100056045,Unknown
UP100056807,Unknown
UP100056046,Unknown
UP100056339,Unknown
UP100056146,Unknown
UP100056149,Unknown
UP100056341,Unknown
UP100056804,Unknown
UP100056235,Unknown
UP100056445,Unknown
UP100055641,Unknown
UP100055749,Unknown
UP100056635,Unknown
UP100056538,Unknown
UP100056048,Unknown
UP100056150,Unknown
UP100056805,Unknown
UP100056444,Unknown
UP100056047,Unknown
UP100056238,Unknown
UP100056241,Unknown
UP100055646,Unknown
UP100056338,Unknown
UP100056542,Unknown
UP100055948,Unknown
UP100055827,Unknown
UP100055645,Unknown
UP100055747,Unknown
UP100055949,Unknown
UP100055951,Unknown
UP100055745,Unknown
UP100055752,Unknown
UP100055643,Unknown
UP100055746,Unknown
UP100056544,Unknown
UP100055828,Unknown
UP100056147,Unknown
UP100056541,Unknown
UP100056239,Unknown
UP100056236,Unknown
UP100055644,Unknown
UP100056539,Unknown
UP100055751,Unknown
UP100055950,Unknown
UP100056543,Unknown
UP100056540,Unknown
UP100056340,Unknown
UP100056447,Unknown
UP100056636,Unknown
UP100056446,Unknown
UP100056806,Unknown
UP100056240,Unknown
UP100056148,Unknown
UP100056637,Unknown
UP100056049,Unknown
VF195845969,Completed
VF195846031,SUBMITTED
VF195846045,Cancelled
VF195846239,Completed
VF195846324,Cancelled
VF195846867,Completed
VF195846871,Completed
VF195847108,Completed
VF195847111,Completed
VF195847171,Cancelled
VF195847540,Completed
VF195847815,SUBMITTED
VF195847887,Completed
VF195847933,Cancelled
VF195848562,Completed
VF195848899,Completed
VF195848910,Completed
VF195849345,Completed
VF195849355,Cancelled
VF195849387,Completed
VF195851033,Completed
VF195851384,Completed
VF195851562,Completed
VF195851879,SUBMITTED
VF195852204,Cancelled
VF195854955,Cancelled
VF195855342,Cancelled
VF195856802,Completed
VF195858474,Completed
VF195859325,Completed
VF195859339,Completed
VF195859771,Completed
VF195859908,Completed
VF195860412,Completed
VF195861380,Completed
VF195862104,Cancelled
VF195862282,Completed
VF195862673,Completed
VF195862780,Completed
VF195862821,Completed
VF195862967,SUBMITTED
VF195863223,SUBMITTED
VF195863373,Completed
VF195863924,Completed
VF195863988,Completed
VF195864254,Completed
VF195864556,Completed
VF195865168,SUBMITTED
VF195865169,Completed
VF195865208,SUBMITTED
VF195865413,Completed
VF195865769,SUBMITTED
VF195865820,SUBMITTED
VF195866220,Completed
VF195866264,SUBMITTED
VF195866301,Completed
VF195866637,Completed
VF195866794,Completed
VF195867020,Completed
VF195867119,Completed
VF195867612,Cancelled
VF195867758,Completed
VF195867970,Completed
VF195868452,Completed
VF195868652,Cancelled
VF195869965,Completed
VF195870450,SUBMITTED
VF195870509,SUBMITTED
VF195870706,Completed
VF195870865,Completed
VF195871470,Completed
VF195871604,Completed
VF195872164,Completed
VF195872436,Completed
VF195872566,Cancelled
VF195873353,Cancelled
VF195873528,Completed
VF195873622,Completed
VF195873699,Cancelled
VF195873719,Cancelled
VF195874264,Completed
VF195874277,Cancelled
VF195874321,Cancelled
VF195874492,Cancelled
VF195875261,Completed
VF195875392,SUBMITTED
VF195875499,Completed
VF195875638,Completed
VF195875650,Cancelled
VF195875667,Completed
VF195875738,Completed
VF195876286,SUBMITTED
VF195876817,Completed
VF195876957,Completed
VF195877723,Completed
VF195878502,Cancelled
VF195878517,Completed
VF195878584,Completed
VF195878626,SUBMITTED
VF195879180,ID_PENDING
VF195879220,Completed
VF195879343,Cancelled
VF195879546,Completed
VF195879746,Completed
VF195879796,Cancelled
VF195880179,Completed
VF195880553,SUBMITTED
VF195880807,Completed
VF195880810,SUBMITTED
VF195880860,SUBMITTED
VF195881728,SUBMITTED
VF195881802,SUBMITTED
VF195882004,SUBMITTED
VF195882547,Completed
VF195882976,Completed
VF195883175,Completed
VF195883388,Completed
VF195883499,SUBMITTED
VF195883668,Cancelled
VF195883798,Completed
VF195884218,Completed
VF195884440,Completed
VF195884688,SUBMITTED
VF195885145,Completed
VF195885221,SUBMITTED
VF195885402,Completed
VF195886245,SUBMITTED
VF195886361,Completed
VF195886428,SUBMITTED
VF195886640,Completed
VF195886673,Completed
VF195887714,Completed
VF195887815,SUBMITTED
VF195889104,Cancelled
VF195889306,Completed
